Title,Categories,Servings,Ingredients,Generated Recipe - Baseline 1,Generated Recipe - Baseline 2,Generated Recipe - Extended 1,Generated Recipe - Extended 2
curried broccoli soup,soups/stews,4 servings,"2 lb broccoli	salt	3 3/4 c  chicken stock	1 tb butter or vegetable oil	1 md onion, finely chopped	2 ts curry powder	pinch cayenne pepper	1 tb cornstarch	2/3 c  whipping cream	1/2 c  fresh watercress, inely chopped",,,,
curried cabbage  arame,"vegetables	side dish",4 servings,"1 c  eden arame	1 c  water	1 tb eden toasted sesame oil	2 c  cabbage, thinly sliced	3 tb eden shoyu	1 tb curry powder	1/4 c  parsley, minced",,,,
curried pork rice,"pork/ham	low fat	freezes wel",4 servings,"12 oz boneless pork sirloin	1 lg apple	1/4 c  chopped onion	1 1/2 ts curry powder	1/2 ts salt	1/8 ts ground ginger	1 tb cornstarch	2 c  skim milk	3/4 c  quick-cooking rice	1/4 c  raisins",,,,
curry-lime dip,"appetizers	dips",4 servings,"4 tb lime juice	2 tb dijon mustard	1 ts garlic; minced	1 c  mayonnaise	1 x  cayenne pepper to taste	1 tb curry powder",,,,
dans buffalo wings,"poultry	meats	appetizers",3 servings,"25    chicken wing joints	2 tb margerine	1 c  louisiana hot sauce (tabasco	or durkee are traditional)	1 tb vinegar	1/2 ts garlic powder",,,,
danas new traditional relish,"sauces	holiday	fruits",4 servings,"1    part cranberries	2    parts apples 	1    sugar",,,,
dark almond macaroons covered pine nuts,cookies,32 cookies,"12 oz almonds, whole	1 1/2 c  sugar, confectioner's	1 ts vanilla extract	2 tb honey	2    egg whites	2 c  pine nuts",,,,
dark chocolate cheesecake,"chocolate	cheesecakes",16 servings,"karen adler   (fngp13b)	vanilla cookie crust (see	index)	5    squares simisweet chocolate	3 pk (8-oz each) cream	cheese; softened	3/4 c  sugar	3    whole; smilin' eggs	1 ts vanilla	1 c  dairy sour cream",,,,
chocolate yogurt cheesecake,"cakes	dairy	desserts	cheesecakes",10 servings,"1 c  chocolate wafer crumbs	1/4 c  butter; melted	16 oz cream cheese; softened	1 c  sugar	3    eggs	1 1/2 ts vanilla	6 oz semisweet chocolate; melted and cooled	8 oz yogurt; plain	3 oz semisweet chocolate	2 tb butter	1 tb light corn syrup	1/2 ts vanilla",,,,
chorizo con huevos,,4 servings,"2 tb oil	1 lb homemade chorizo	1    white onion -- chopped	2    serrano chilies -- chopped	8    eggs	1/2 bn cilantro -- leaves chopped	4    flour tortillas	1    avocado mashed	1/2 c  fresh salsa",,,,
chow mein noodles,"asian	chow mein #	noodles",4 servings,"1 lb all-purpose flour	4    whole eggs	1/2 ts salt	1 1/4 ts white vinegar",,,,
chupe de camarones shrimp chowder,"soups	seafood	peruvian",6 servings,"3 tb salad oil	2 cl garlic; peeled, minced	1 lg onion; peeled, chopped	2 lg tomatoes; cut into eighths	2 sm raw potato cubes	1/2 ts ground chili pepper	1 1/2 ts seasoned salt	2 ts salt	1/4 ts crushed red pepper	few drops tabasco	;water	1 1/4 c  milk	3 md flounder fillets	1/4 c  cream cheese ( 2 oz)	1/2 lb raw shrimp; shelled and cleaned	12 oz can whole-kernel corn	few sprigs fresh mint",,,,
cider bugs,"gift	fruits",1 recipe,"oranges; halved; pulp	removed	brown sugar	cinnamon sticks	whole nutmeg	2    whole clove	tissue paper	<<<or>>>	colored plastic wrap",,,,
cinnamon apple mince muffins,"breads	desserts",18 servings,"2 c  unsifted flour	1/3 c  sugar	1 tb baking powder	1/2 ts ground cinnamon (or more)	1/2 ts salt	1    egg	3/4 c  apple juice	1/3 c  vegetable oil	1 1/3 c  ready-to-use mince filling	1 c  apples, chopped fine",,,,
cinnamon pepper chicken,poultry,1 servings,"1    whole fryer	1 1/2 ts salt	1/2 ts cayenne pepper	1 ts black pepper	1 ts cinnamon	1 ts allspice",,,,
cinnamon-almond butter cookies,cookies,"3 dozen. larry rosenberg, author of muffins & cupcakes","1 3/4 c  all-purpose flour	3/4 c  butter or margarine,softened	1 ts almond extract	1/8 ts salt	1/2 c  sugar, divided	1    egg white, slightly beaten	1/8 ts ground cinnamon	1/3 c  almonds",,,,
cinnamon-spiced tea,"thai	beverages",4 servings,"8    chinese-style red or black tea bags or:	1/4 c  regular black tea	4 c  boiling water	ground cinnamon	1/2 c  sweetened condensed milk",,,,
citrus crusted shrimp ginger starfruit  rum,"fish	new america	healthy and",4 servings,"12    large shrimp	2    lemons; zested and juiced	2    lime; zested and juiced	1    jalapeno pepper; diced	1 tb white peppercorns; crushed	1 tb coarse salt	2 tb brown sugar	1 tb olive oil	1 ts sliced ginger root	2    starfruit; sliced crosswise	2 oz rum",,,,
classic torani italian cream soda,beverages,1 servings,"1 oz cold milk	1 oz to 1 1/2 oz peach or other flavor of syrup	ice	9 oz sparkling water	fresh fruit or half and half for garnish",,,,
cobble corn chili tacos,"mexican	hamburger	chili	beans	beef",6 servings,"12    taco shells	1 lb ground beef	1 pk chili seasoning mix	1 cn (17 oz) whole kernel	sweet corn	1 cn (14 1/2 oz) stewed tomatoes	1 cn (8 oz) tomato sauce	2 tb instant minced onion	1 c  sliced celery	shredded cheddar cheese	shredded lettuce",,,,
cocktail meat balls,"main dish	meats	appetizers	microwave",10 servings,"1 1/2 lb lean ground beef round	1    egg	1/2 c  fine dry bread crumbs	1/2 c  water	12 oz bottle chili sauce	6 oz grape jelly	2 tb lemon juice",,,,
sep-dinner fresh pear ice cream,"dairy	fruits	desserts",4 cups,"1 1/2 c  whipping cream	3/4 c  granulated sugar	4    egg yolks, lightly beaten	1/2 ts vanilla	1 tb pear liqueur [optl]	1 1/2 lb ripe pears [=3]",,,,
shatta,"sauces	seasonings",1 1/2 cups.,"small red chili peppers	1 c  parsley; chopped	1 c  fresh cilantro; chopped	1 1/2 tb garlic; ground or minced	1 ts each salt and pepper	1 ts cumin	2 tb olive oil",,,,
shellys meatloaf,"meats	beef",8 servings,"from: gaye levy  dtxt63a	2 lb lean ground beef	2 c  fresh bread crumbs	1/2 c  milk	1/2 c  minced onion	2    carrots; shredded or chopped	2    eggs	1/4 ts pepper	4 tb a1 sauce",,,,
shredded beef enchiladas,"mexican	meats	main dish",6 servings,"2 lb boneless beef chuck	1/4 c  water	3 tb red wine vinegar	1 1/2 c  beef broth (canned is fine)	2 tb chili powder	1 1/2 ts ground cumin	salad oil	1    small onion, chopped	2 cn diced green chiles (7oz.)	1 tb all purpose flour	2 c  sour cream	3 c  shredded jack cheese	salt	12    corn tortillas",,,,
shrimp croustades,"seafood	appetizers	microwave",4 dozen,"1    loaf bread	1/2 c  butter, melted	1 tb butter	2 tb flour	3/4 c  milk	1/2 c  swiss cheese, grated	1    green onion, minced	1    tin salad shrimp; rinse	1/2    lemon, zest portion	2 ts lemon juice	1 tb parsley, minced	ds worcestershire sauce	ds tabasco	ds salt	ds pepper	ds paprika",,,,
shrimp teriyaki style,seafood,12 servings,"1/2 c  soy sauce	1/2 c  olive oil	1/2 c  sherry	2 tb lemon juice or vinegar	1/2 ts garlic salt	1/2 ts ground ginger	1/4 ts ground rosemary	1/4 ts ground thyme	1/4 ts ground oregano	1/4 ts ground marjoram	2 lb shrimp, shelled and deveined",,,,
simple orange muffins,"breads	vegetarian",12 muffins,"1 lg orange	1 oz tofu	3/4 c  sugar; (less if desired)	3 tb oil	1/2 c  water or orange juice	2 c  flour	1 ts baking soda	1 ts cream of tartar	1/4 ts salt",,,,
simple sloppy joes,"sandwich	beef	quick",12 servings,"2 lb beef	4 cn manwhich; (ready made sauce)	2 md onions; diced	2    celery rib; diced	garlic; minced or powder	salt and pepper",,,,
simulated instant beef gravy packet,sauces,4 servings,"2 tb flour	1 tb beef flavor base	1/2 ts cornstarch	1 tb ketchup	1 ts mixed vegetable powder	1 pn garlic powder	1 pn onion powder	1    healthy twist of fresh pepper	1 c  water (or milk)",,,,
siopow steamed dumplings,"appetizers	pork	chinese",30 servings,"1    wrapper recipe	1 c  water	1 tb oil	1/4 ts salt	1 c  chopped shrimp	1/4 c  ground pork	1 c  minced water chestnuts	1/4 c  minced scallions	1/4 c  minced onions	1    egg	1 ts pepper	1 ts salt",,,,
sister marys zesty carrots,vegetables,6 servings,"6    carrots	2 tb grated onion	2 tb horseradish	1/2 c  mayonnaise	1 ts salt	1/4 ts pepper	1/4 c  water	1/4 c  buttered bread crumbs",,,,
skewered steak  mushrooms asian flavors,"asian	beef	grill",4 servings,"1 lb medium fresh white mushrooms	1 lb flank steak	1/2 c  ketchup	2 tb light soy sauce	optional: 2 teaspoons sesame  oil	2    cloves garlic; minced	1 c  snow peas (about 18); halved	1 c  sweet red or yellow pepper; cut into squares	1/4 c  sesame seeds",,,,
skordalia,"greek	sauces",6 servings,"4 md potatoes	6    garlic cloves (or more!)	1/2 c  olive oil	1/3 c  white vinegar	1 pn salt",,,,
smoked turkey,"turkey	smoker",1 bird,1    method,,,,
smothered noodles,"side dish	thai	vegetarian",6 servings,"1 3/4 lb fresh gwit dio =-or=-	10 oz rice vermicelli	1/2 lb broccoli	1 tb salty brown bean paste	3 tb cornstarch dissolved in	4 tb water	1 tb sugar	1 tb soy sauce	1/2 ts pepper	1/2 ts salt	3/4 c  vegetable oil	3 tb thick chinese soy sauce	1 tb garlic, chopped",,,,
snacks-to-go beef burritos,"beef	appetizers	mexican",10 servings,"10    6 or 7-inch tortillas, corn or flour style	2 c  monterey jack, shredded	2 tb olive oil	1    onion, chopped	2    garlic cloves, minced	2 ts dried coriander	19 oz canned red kidney beans	1/4 ts pepper	2 ts olive oil	1    onion, chopped	2    garlic cloves, minced	1 1/2 ts chili powder	1/2 lb lean ground beef	1 tb tomato paste	1 ts dried oregano	1/4 ts salt	1/4 ts pepper",,,,
snowy apricot bars,cookies,75 cookies,"6 oz dried apricots	1/2 c  firm butter	1/2 c  granulated sugar	2 1/2 c  bisquick baking mix	2 c  packed brown sugar	4    eggs, beaten	2/3 c  bisquick baking mix	1 ts vanilla	1 c  chopped nuts (opt)	powdered sugar",,,,
soda cracker pie,pies,6 servings,"12 x  soda crackers, crumbled fine	1 c  brown sugar	1 ts vanilla	12 x  dates, chopped	3 x  egg whites	1 c  chopped nuts",,,,
sole tomatoes,fish,1 servings,"1 md tomato, thickly sliced	1    fillet sole about 5 oz/140 g	1/2 ts olive oil	1/2 ts lemon juice	2 ts chopped fresh basil or dill	or	1/4 ts dried basil, dill, parsley	freshly ground pepper",,,,
soupa avgolemono  greek egg-lemon soup,soups,6 servings,"2 qt chicken broth; strained	1/2 c  raw long grain white rice	2    whole eggs or egg yolks	2    lemons; (juice only)	salt",,,,
dublin lawyer irish,"fish	irish",2 servings,"1 x  fresh lobster/about 2 1/2 lb	3 tb butter	4 tb irish whiskey	150 ml cream	1 x  salt and pepper",,,,
east african piri-piri sauce,"appetizers	sauces	dips",1 servings,"1 lb unsalted butter	3    small red chiles	6    cloves garlic	1 tb paprika	1/2 ts chile powder	lemon or lime juice",,,,
easter baskets  bunnies cupcakes,"desserts	holiday",33 cupcakes,"2 c  sugar	1 3/4 c  all-purpose flour	3/4 c  hershey's cocoa; or... european style cocoa	1 1/2 ts baking powder	1 1/2 ts baking soda	1 ts salt	2    eggs	1 c  milk	1/2 c  vegetable oil	2 ts vanilla extract	1 c  boiling water	creamy vanilla frosting	1/3 c  butter or margarine  softened	3 1/2 c  powdered sugar; divided use	1 1/2   tss vanilla extract	1/4 c  milk, ounds sweetened coconut (flakes), (tinted)	marshmallows	hershey's mini kisses	licorice	jelly beans",,,,
easter cookies,cookies,54 servings,"3/4 c  butter; softened	3/4 c  sugar	3    egg yolks	4 ts orange flower water	2 tb milk	3/4 c  currants	4 c  all-purpose flour	1 pn salt	1    egg white; lightly beaten	2 tb superfine sugar",,,,
eating wells chocolate cheesecake of,"desserts	cakes	cheesecakes",16 servings,"4 oz chocolate wafers	1 c  grape-nuts cereal	2 tb unsweetened cocoa powder	2 tb sugar	3 tb vegetable oil, preferably canola oil",,,,
hazelnut christmas balls,"cookies	holiday",1 batch,"1/2 c  shortening	1/4 c  sugar	1    beaten egg yolk	1 ts grated lemon peel	1 tb grated orange peel	1 ts lemon juice	1 c  cake flour	1/8 ts salt	1    slightly beaten egg white	1/2 c  finely diced hazelnuts (oregon hazelnuts)	9    candied cherries",,,,
hazelnut tart,desserts,6 to 8 servings.,"1 c  all-purpose flour	1 pn salt	6 tb sugar	11 tb cold unsalted butter, - cut into small pieces	3 oz bittersweet chocolate - melted	7 tb heavy cream	1 tb honey	1 3/4 c  oregon hazelnuts, roasted - and coarsely chopped",,,,
hearty meatless chili,"soups	main dish",4 servings,"1 ea env. soup mix 	4 c  water	16 oz (1 can) chick peas 	16 oz (1 can) red kidney beans 	14 1/2 oz (1 can) tomatoes 	1 c  lentils, rinsed & drained	1 ea large stalk celery 	1 tb chili powder	2 ts ground cumin	1 ea med. clove garlic fine chop	1/4 ts crushed red pepper",,,,
herb butter for fish,"seafood	sauces",6 servings,"1 ts chopped tarragon	1 ts chopped thyme (or dbl. amt.)	1 ts chopped dill	1 ts salt; or more to taste	1 ts ground white pepper, or more	1 tb chopped parsley	2 tb lemon juice	6 tb butter; room temperature",,,,
herb marinated tomatoes,new import,4 servings,"2 lg tomatoes, cut in 1/2-in	slices	2 tb chopped fresh basil	1 tb chopped fresh parsley	1 tb chopped fresh oregano	1 tb fresh lemon juice	1 ts balsamic vinegar	1/4 ts salt	1/4 ts freshly ground pepper",,,,
herbed asparagus w/shiitakes  parmesan,vegetables,6 servings,"2 lb asparagus pencil-thin	8 oz shiitake mushrooms	1/4 c  (1/2 stick) unsalted butter	1/4 c  minced shallots	1 tb finely chopped parsley	1 tb chopped basil	1 dr salt to taste	1 ts freshly cracked black pepper	5 oz parmesan cheese shaved thin",,,,
herbed mop sauce,other sauce,1 servings,"1/4 c  minced onion	1/2 c  oil	1/2 c  red wine	1/4 c  worcestershire sauce	2 tb brown sugar	1 ts dry mustard	1 ts salt	1/2 ts basil	1/2 ts thyme	1/3 c  chili sauce	2 tb lemon juice",,,,
herbed pork loin,pork,1 servings,"2 tb chopped fresh thyme or -- 2	ts dried	2 tb chopped fresh sage or -- 2	ts dried	1/4 ts salt	1/4 ts cracked black pepper	1    boneless pork loin roast --	about 2 lbs	1 tb olive oil",,,,
hoisin chicken,"oriental	poultry	bar-b-q",4 servings,"1 ts fresh thyme leaves -or-	1/2 ts -dried thyme leaves	3 tb hoisin sauce	2 tb rice wine	1 tb olive oil	4    chicken breast halves, boned",,,,
holiday cranberry rolls,breads,18 servings,"1 pk (or 1 tablespoon) active dry yeast	1/4 c  warm water (110 to 115 degrees)	1 c  whole wheat flour	1 1/2 c  unbleached all-purpose flour	1 tb sugar	1/4 ts salt	1/2 c  lowfat milk	2    eggs	cranberry-orange filling:	1 1/2 c  cranberries, fresh or frozen	1    orange, peeled	2 tb dark -or- light brown sugar -or- fructose	1/4 c  unsweetened applesauce	frozen orange juice concentrate",,,,
cornmeal spice cake,"cakes	desserts	bundt",10 servings,"nonstick spray coating	1 1/4 c  all-purpose flour	2/3 c  whole wheat flour	1/2 c  cornmeal	2 ts baking powder	1/2 ts baking soda	1/4 ts ground cardamom <or> ground nutmeg	2/3 c  honey	1/2 c  cooking oil	1 ts vanilla	3    eggs; slightly beaten	8 oz plain yogurt",,,,
cossack braised lamb],"maindish	meat	ukrainian	ethnic	east-euro",1 recipe,"3 1/16 lb lamb shoulder cubed 1/2""	2 ea onion, chopped	1 tb tarragon	1/2 tb paprika	2 ea garlic cloves minced	2 ts salt	1/2 c  beef stock	1 c  yogurt, plain	2 ea apples, cored, peeled, &  cubed 1/2""",,,,
country hearth stew,"stews	beef	meats",6 servings,"1 tb vegetable oil	1 lb boneless beef, cubed	1/2 ts salt	1/4 ts pepper	1 sm onion, chopped	1/2 ts thyme leaves	1/4 ts sage leaves	3 cn beef broth (12 oz)	thick, heavy egg noodles	1 cn veg-all mixed vegetables, with liquid (16 oz)	8    soda crackers, crushed",,,,
country style buttermilk pancakes berry,other sauce,4 servings,"2 tb corn oil	3    egg whites	1 c  buttermilk	1 1/2 ts baking powder	1/4 ts salt	2 tb brown sugar	1 tb cornmeal	1/2 c  wheat flour, whole-grain	1/2 c  white flour	2 c  berries	2 tb honey	2 tb sugar",,,,
coygimwch dell patagonia prawn patagonia  w,"main dish	fish",8 servings,"1    small cauliflower	1 pt thick bechamel sauce	1    teacup double cream	1/2 lb peeled prawns	1/4 lb caerphilly cheese	1 ts garlic salt	1 tb tomato ketchup	1 ts celery salt	1 ts ground bay leaf	1 ts turmeric	1 ts mustard powder",,,,
craigs macadamia cake,"cakes	desserts",12 servings,"1 1/4 c  macadamia nuts	1/4 c  cake flour	6    egg yolks	3/4 c  sugar	3 dr vanilla	1 ts kirsch	7    egg whites	1/8 ts salt	1/2 ts cream of tartar	2 c  macadamia nuts	1/2 c  sugar	3 tb -water	2 tb corn syrup	1 tb unsalted butter	1 tb whipping cream	2 c  flaked unsweetened coconut	1 c  whipping cream	2 tb sugar; to taste	1 ts vanilla extract",,,,
cranberry cookies,cookies,4 dozen,"from joan's kitchen	1/4 c  butter or margarine	3/4 c  brown sugar	1    large egg	1 ts vanilla	1 tb orange zest	pinch salt	1 1/2 c  flour	1/2 ts baking soda	1/2 c  chopped walnuts	3/4 c  chopped cranberries	fresh or frozen",,,,
crayfish tails a la carlton,seafood,4 servings,"1 qt water	1 ts salt	1 tb sugar	1 x  parsley leaves	12 ea stalks of fresh dill	24 ea frozen crayfish tails (2 lbs	1 c  hollandaise sauce	1 tb finely chopped dell	1/2 ts sugar	1/3 c  dry white wine",,,,
chicken winter vegetables,"french	poultry	from cook4u",4 servings,"2 lb skinless chicken breast	salt and pepper	16    baby carrots	16    scallions	8    brussel sprouts	1    potato	1/4 lb parsnip	4 1/2 c  chicken broth	1 tb butter	1 tb flour	1/4 c  heavy cream	1/4 c  horseradish,fresh	1/4 ts tabasco sauce	1/4 c  chopped fresh parsley",,,,
chickpea-zucchini curry,"indian	instant ind	vegetarian",2 servings,"1    8oz can of tomato sauce	2 ts instant india	1/4 ts mashed garlic	1/4 c  raisons	1    16oz can drained garbanzo beans	1    piece sliced seitan",,,,
chile rubbed shrimp vera cruz pizza,pizza,1 1/4 cup (use just 1 teaspoon per pizza).,"1    12-inch pizza shell	8 oz mozzarella cheese, shredded	4 oz monterey jack cheese shredde	8 oz ripe tomatoes, thinly sliced	4    shrimp (16-20 size), split & tossed in 1/4 c chile rub	2 tb green scallion tops, thinly sliced	1 ts texas gremolata (garnish)	2 ts garlic, finely chopped	1 tb chile powder	juice from 1 lime	1/2 c  olive oil	1 tb cilantro, finely chopped	salt & pepper to taste	2 tb lime zest, finely chopped	2 tb garlic, finely chopped	1 c  cilantro, finely chopped",,,,
chili bean dip,"appetizers	spread/dips	chili",10 servings,"12 oz cottage cheese; low fat creamy	2 cn kidney beans; drained (about 1 lb each)	1 pk chili seasoning mix or to taste	dippers: raw vegetables or tortilla chips",,,,
chili meatloaf  potato casserole,"main dish	casseroles	meats",6 servings,"1 1/2 lb lean ground beef	3/4 c  finely chopped onion	1/3 c  saltine cracker crumbs	1    egg; slightly beaten	3 tb milk	1 tb chili powder	3/4 ts salt	3 c  prepared mashed potatoes	11 oz canned whole kernel corn with red and green peppers (drained)	1/4 c  thinly sliced green onions	1/2 c  taco seasoned cheese (shredded), or more",,,,
chili short ribs,none,4 servings,"3 lb short ribs	1 tb vegetable oil	2    garlic cloves	2 ts chili powder	15 oz tomato sauce	1/2 ts salt	1 ts pepper	1    onion	32 oz red kidney beans",,,,
chili soup,"soups/stews	chili	beans",1 servings,"2 lb hamburg	1 ea onion	1 tb butter	2 qt water	2 cn kidney beans	1 qt tomatoes; strained	1 c  cream	chili powder",,,,
chilied red bean dip,"dips	mexican	beans	chili",6 servings,"2 tb corn oil	1    garlic clove, crushed	1    onion, finely chopped	1    fresh green chili, seeded, finely chopped	1 ts hot chili powder	1 cn red kidney beans (15 oz)	1/2 c  shredded cheddar cheese	salt to taste	thin slivers fresh red and green chilies	fresh parsley sprig (opt)	tortilla chips",,,,
chinese beef stir-fry w/vegetables,oriental,4 servings,"1 lb sirloin tips; cut into 1 cubes	1 tb sherry, dry	1 tb soy sauce	1 tb cornstarch	1/2 ts sugar	6 1/2 ts oil	1/8 ts pepper, black	2    garlic clove; pressed	1 tb oyster sauce	2 lg broccoli stalk; stems removed & cut into	1/2 c  beef broth	8    baby corn spear; drained	20    snow pea pods, fresh	1    scallion with top; chopped",,,,
chinese chicken livers,"snacks	poultry",1 servings,"1 lb chicken livers	1 tb soy sauce	1/4 c  vegetable oil	2 tb honey	1 tb white wine	1    or 2 cloves minced garlic",,,,
chinese joy pot,"vegetarian	main dish	ethnic",8 servings,"1/2 c  low-sodium soy sauce	1/2 c  peanut butter	2 tb toasted sesame oil	2 tb curry powder	3 c  bok choy; chopped	2 pk frozen leaf spinach; thawed and drained (8 oz each)	2 c  snow pea pods	6    carrots; sliced into 1/2"" thick pieces	2 lg red onions; thinly sliced	8 oz firm tofu; cut into 1"" cubes	2    green bell peppers; cut into 1/2"" thick strips	2    red bell peppers; cut into 1/2"" thick strips",,,,
chinese spareribs,"appetizers	chinese",12 servings,"1/2 c  butter or margarine	1    med. clove garlic 	1    env. soup mix 	16 oz (1 can) tomato puree	1/2 c  brown sugar	1/4 c  imported soy sauce 	1/4 c  white vinegar	1/4 c  chili sauce	5 lb spareribs",,,,
cho-chang sauce ala the dumpling cookbook,"cookbook	sauces",1 servings,"1/3 c  soy sauce	2 tb white vinegar, (rice vinegar f	possible)	1/2 ts sugar	2    scallions, finely chopped	1    clove garlic, minced or put	through a garlic press	2 tb peanuts, chopped (optional)",,,,
smoked crawfish a creole mustard roasted red pep,emeril,12 servings,"1 c  parmigiano-reggiano cheese	1 c  bread crumbs	1/2 c  melted butter	1 tb olive oil	1/2 c  chopped onions	1/2 c  chopped red peppers	2 ts salt	1 ts white pepper	1 3/4 lb cream cheese, at room	temperature	4 lg eggs	1 c  grated maytag white cheddar	cheese, plus 1/4 cup for	garnish	1/2 c  heavy cream	1 lb smoked crawfish tails, rough	chopped	4    roasted red peppers	2/3 c  white wine	1/2 c  creole mustard	salt and pepper	1/4 c  fried crawfish tails	1 tb chopped parsley	1 tb brunoise red onions",,,,
tajik non,breads,"8 breads about 6 inches in diameter, with a soft raised rim","1/2 c  warm water	1 ts sugar	1 tb dry yeast	1 c  plain yogurt (2 percent or hole milk)	1 c  water	1 tb sea salt	2 c  whole wheat flour	2 1/2    to 3 1/2 cups unbleached	all-purpose or hard white	flour	topping:	approximately 2 tablespoons	finely chopped shallot	approximately 1 teaspoon	salt	water for spritzing",,,,
fresh egg pasta dough,tvfn,2 servings,"2 c  all-purpose flour	1 ts salt	2 lg eggs, beaten lightly	1 tb olive oil",,,,
minty lime cooler,tvfn,about 6 cups,"1/2 c  freshly squeezed lime juice	1/3 c  sugar	1/2 c  packed mint leaves",,,,
granita,,6 servings,"4 c  simple syrup (see below)	4 c  cubed melon (about 2-3 small	ripe melons)	1/4 c  sweet white wine	2 tb lemon juice	1    egg in shell	mint sprig for garnish	6    8 berries for garnish",,,,
mango-tuna ceviche parfait,,4 servings,"3/4 lb tuna steak	1/2 c  lime juice	1/2 c  (4 ounces) coconut milk	2 tb olive oil	salt and pepper	1 c  small diced mango	2 tb small diced red pepper	2 tb chopped fresh cilantro	2 tb toasted coconut	2 tb minced shallots	cilantro sprigs for garnish",,,,
potato latkes variations,tvfn,4 servings,"1 1/2 lb russet potatoes peeled	1/4 c  finely chopped shallots	2 lg eggs, lightly beaten	2 tb flour (or more) or matzo	meal (during passover)	1 1/2 ts salt and freshly ground	black pepper	vegetable oil for frying",,,,
corn pancakes,toohot,"12 large pancakes, serves 46","2 c  finely ground cornmeal, referably organic	1/2 c  all-purpose flour	2 ts baking soda	1/2 ts coarse salt	1 tb sugar	1/4 c  (1/2 stick) unsalted butter, ut into small pieces	2 c  buttermilk	1/4    1/2 cup milk	butter or oil for coating	pan",,,,
crema catalana,hot,6 servings,"5 c  whole milk (do not use	lowfat or nonfat)	8    3x1inch strips lemon peel	4    3x1inch strips orange peel	2    cinnamon sticks, broken in	half	8 lg egg yolks	1 c  sugar	1/2 c  cornstarch	6 tb brown sugar	vanilla extract",,,,
southwestern steak po boy,emeril,1 very large sandwich,"1/2 c  olive oil	1/4 c  emeril's southwestern spice, ecipe follows	1    flank steak, about 2 pounds	1 lg loaf of french bread	1/4 c  creole mustard	1    poblano pepper, roasted, eeled and seeded	6    tomatillos, roasted	1 bn green onions, roasted	1    head of garlic, roasted	1    beef steak tomato, uartered	juice of 2 limes	1 tb minced garlic	6    corn tortillas, cut into	thin strips	2 c  guacamole	1/2 c  cilantro creme fraiche",,,,
flos tuna melt,emeril,4 blue-plate lunch specials,"1    (12-ounce) tuna steak, oached	1/2    minced yellow onions	3    hard boiled eggs, chopped	1 ts minced garlic	1 tb sweet pickle relish	1/4    to 1/2 cup mayonnaise	salt and black pepper	8    thin slices of white bread, oasted	4    (1-ounce) slices of medium	cheddar cheese	4    (1/2-inch) slices of creole	tomatoes	1    avocado	2 c  cole slaw, purchased or ome-made	4    bags of zap's potato chips	4    pickle spears",,,,
gingerbread dough/pepparkakor,tvfn,about 4 dozen,"1/2 c  (1 stick) butter, at room	temperature	1/2 c  dark brown sugar	1/4 c  light molasses or dark corn	syrup	1 tb cinnamon	1 tb ground ginger	1 1/2 ts ground cloves	1 ts baking soda	2 c  all-purpose flour	2 tb cream, milk or water",,,,
carciofi mint garlic,molto,4 servings,"20    baby artichokes	1/4 c  extra virgin olive oil	12    cloves garlic, peeled	6 oz dry white wine, frascati	1 tb crushed red pepper flakes	1/2 c  fresh mint leaves, stems	removed",,,,
savory hot soy milk do jiang,try it,2 servings,"2 c  soy milk; unsweetened	1 ts vinegar, cider	1 ts shrimp, dried; finely chopped	1 tb pork, dried; finely shredded	1/4 c  croutons; small, or bread cubes	2    onions, green; finely chopped	1 ts cilantro, fresh; coarsely chopped	1/4 ts oil, chile; to taste",,,,
portugese kale clam soup,emeril,about 8 servings,"2 tb olive oil	1 lb chorizo sausage, finely	chopped	2 c  chopped onions	1 c  diced celery	1 c  diced carrots	4 c  shredded kale	2 tb chopped garlic	1    bouquet garni	3 qt chicken stock	crushed red pepper	4    dozen littleneck clams, crubbed	1/4 c  chiffonade of cilantro	1    loaf of crusty garlic bread",,,,
spiced cream,emeril,4 cups,"1 qt heavy cream	1/4 c  granulated sugar	1/2 ts ground cinnamon	1/4 ts freshly grated nutmeg",,,,
pithiviers,molto,4 servings,"1 lb puff pastry	almond cream:	1/2 lb butter	1/2 lb sugar	1/2 lb almonds, finely ground	2    eggs	1    egg, for wash	1 tb water	1/4 c  slivered almonds",,,,
chicken confit sandwich,emeril,1 serving,"1/2 c  thinly sliced new potatoes	roasted garlic and black	pepper aioli:	2    egg yolks	4    cloves roasted garlic	1 tb black pepper	1 c  olive oil	fillings:	1 c  shredded chicken or duck	confit	2    whole roasted roma tomatoes, ulienned	1/2 c  wilted spinach seasoned with	garlic, shallots, salt and epper	1    grilled red onion ring	3 sl terrabone or any other hard	cheese, 2"" by 1/4""	2 sl braided bread, recipe above	garnish:	potato chips	2 tb chopped parsley",,,,
mozzarella in carrozza,live,6 servings,"6 sl home style white bread, bout 3 1/2 by 3 1/2 -inches	square	6    bread size slices fresh	mozzarella, cut 1/4-inch	thick	1 c  all purpose flour	1    recipe seasoned egg batter, ecipe follows	2 c  bread crumbs, recipe	follows	approximately 3 cups home	made or store bought	marinara sauce	approximately 6 cups	vegetable oil	2 tb chopped italian parsley",,,,
